plot,burn,site,date,decid_prop_canopy,piba_prop_canopy,stand_dominance,time_after_fire,moisture,nonvascular_functionalgroup,avg_org_carbon,ecozone,avg_carbon_stock,latitude,longitude 
ZF44-71B,ZF44,ZF44-71,2015-08-05,0.006622517,0,Black Spruce,1,Hydric,Lichen,9.9,shield,4.654641208,64.11782,-117.200286
ZF44-71C,ZF44,ZF44-71,2015-08-05,0.208333333,0,Mixed,1,Xeric,Lichen,2.25,shield,1.495402741,64.118267,-117.203397
ZF44-9A,ZF44,ZF44-9,2015-08-03,0.096153846,0,Black Spruce,1,Xeric,Colonizers,3.7,shield,2.065845112,64.105562,-117.248825
ZF44-9C,ZF44,ZF44-9,2015-08-04,0.032258065,0,Black Spruce,1,Mesic,Colonizers,9.05,shield,2.816317904,64.104927,-117.251383
ZF46-15A,ZF46,ZF46-15,2015-07-14,0.5,0.449999999,Deciduous,1,Xeric,Lichen,1.4,plains,NA,62.477749,-116.50997
ZF46-15B,ZF46,ZF46-15,2015-07-14,0,0.348837209,Black Spruce,1,Mesic,Lichen,3.4,plains,NA,62.479209,-116.507
ZF46-15C,ZF46,ZF46-15,2015-07-15,0,0.057142857,Black Spruce,1,Hydric,Pleurocarpous,30.5,plains,NA,62.48114,-116.5082
ZF46-18A,ZF46,ZF46-18,2015-07-14,0,0.983870967,Jack Pine,1,Xeric,Colonizers,0.95,plains,0.567557164,62.345521,-116.47853
ZF46-18B,ZF46,ZF46-18,2015-07-14,0,0,Black Spruce,1,Hydric,Colonizers,36.6,plains,25.30094349,62.344838,-116.479873
ZF46-18C,ZF46,ZF46-18,2015-07-16,0.242424243,0.757575757,Jack Pine,1,Mesic,Lichen,3.85,plains,2.212524534,62.34368,-116.476407
ZF46-1A,ZF46,ZF46-1,2015-07-13,0,1,Jack Pine,1,Xeric,Bare,0.4,plains,NA,62.481289,-116.517971
ZF46-1B,ZF46,ZF46-1,2015-07-13,0,0,Black Spruce,1,Hydric,Pleurocarpous,16.1,plains,NA,62.479949,-116.519741
ZF46-1C,ZF46,ZF46-1,2015-07-14,0,0.066666666,Black Spruce,1,Mesic,Colonizers,11.35,plains,NA,62.484674,-116.517876
ZF46-21A,ZF46,ZF46-21,2015-07-15,0,0.434343435,Black Spruce,1,Mesic,Colonizers,1.75,plains,NA,62.34956,-116.51363
ZF46-21B,ZF46,ZF46-21,2015-07-15,0,0.102272727,Black Spruce,1,Hydric,Colonizers,14.7,plains,NA,62.350499,-116.508761
ZF46-21C,ZF46,ZF46-21,2015-07-16,0,1,Jack Pine,1,Xeric,Lichen,1.95,plains,NA,62.351207,-116.505123
ZF46-24A,ZF46,ZF46-24,2015-08-21,0.2,0.7,Jack Pine,1,Xeric,Colonizers,2.7,plains,NA,62.347525,-116.511635
ZF46-24B,ZF46,ZF46-24,2015-08-21,0,0.277227723,Black Spruce,1,Mesic,Pleurocarpous,5.85,plains,NA,62.347227,-116.509055
ZF46-24C,ZF46,ZF46-24,2015-08-21,0.21875,0.749999999,Jack Pine,1,Xeric,Lichen,1.5,plains,NA,62.34981,-116.500331
ZF46-30A,ZF46,ZF46-30,2015-07-15,0.333333332,0.466666668,Mixed,1,Mesic,Colonizers,3.2,plains,1.972530007,62.427287,-116.503465
ZF46-30B,ZF46,ZF46-30,2015-07-15,0,0.0125,Black Spruce,1,Hydric,Lichen,26.95,plains,22.02719572,62.424989,-116.501221
ZF46-30C,ZF46,ZF46-30,2015-07-15,0.255319149,0.40425532,Mixed,1,Mesic,Liverwort,2.45,plains,1.611920701,62.427253,-116.498949
ZF46-35A,ZF46,ZF46-35,2015-06-18,0,0.05882353,Black Spruce,1,Mesic,Colonizers,25.65,plains,NA,62.45081,-116.49489
ZF46-35B,ZF46,ZF46-35,2015-06-23,0,0.888888889,Jack Pine,1,Xeric,Colonizers,0.35,plains,NA,62.450936,-116.497903
